title,rating,score,vote,type,director,writter,duration,release date,release country,location,reviews,storyline,budget en $,Opening weekend USA en $,gross en $,Cumulate Worldwide Gross en $,runtime,sound Mix,Color,Aspect Ratio 
Sueurs froides,8.3,100,371341,Mystery; Romanc,Alfred Hitchcock,Alec Coppel,2h 8min,1958-12-12,USA,Union St & Montgomery St; San Francisco; California; USA,939,"Following his early retirement as a detective from the San Francisco Police Department, John Ferguson - Scottie to his friends - becomes obsessed with two women in succession, those obsessions which trouble his long time friend and former fiancée, Midge Wood, a designer of women's undergarments. The first is wealthy and elegant platinum blonde Madeleine Elster, the wife of his college acquaintance Gavin Elster, who hires John to follow her in Gavin's belief that she may be a danger to herself in thinking that she has recently been possessed by the spirit of Carlotta Valdes, Madeleine's great-grandmother who she knows nothing about, but who Gavin knows committed suicide in being mentally unbalanced when she was twenty-six, Madeleine's current age. The second is Judy Barton, who John spots on the street one day. Judy is a working class girl, but what makes John obsessed with her is that, despite her working class style and her brunette hair, she is the spitting image of Madeleine, into ...",2479000.0,25288,7705225,7797300,128 min,"Mono
(Westrex Recording System)| DTS
(70 mm prints)| DTS
(DTS: X)",Color,1.50 : 1
Quand passent les cigognes,8.3,xxx,15553,Drama; Romance;,Mikhail Kalatozov,Viktor Rozov,1h 35min,1958-06-11,Union,Mosfilm Studios; Moscow; Russia,80,"As the clouds of war spread over Russia during Germany's surprise invasion in 1941, the fervent young lovers, the sensitive Veronika and the stalwart Boris, are parted when the patriotic lad secretly volunteers for the war effort. During the following hard years, Veronika who serves her country as a wartime-nurse will lose communication with Boris, moreover, when a devastating air raid destroys her house and Boris' father takes her in to live with the family, unexpectedly, things will take a turn for the worse. Before long, the worried fiancée will find herself dealing not only with the dark thoughts of Boris' potential loss but also with the burden of an unwelcome decision. Once, the star-crossed lovers swore eternal devotion under a flock of flying cranes, still, a war is always cruel and eternally disastrous.",xxx,xxx,17923,17923,95 min,io: 1.37 : 1,xxx,xxx
Un condamné à mort s'est échappé ou Le vent souffle où il veut,8.3,xxx,19854,Drama; Thriller,Robert Bresson,André Devigny,1h 41min,1956-11-11,France,Gaumont,78,"Captured French Resistance fighter Lieutenant Fontaine awaits a certain death sentence for espionage in a stark Nazi prison in Lyon, France. Facing malnourishment and paralyzing fear, he must plot an extraordinary escape, complicated by the questions of whom to trust, and what lies beyond the small portion of the prison they are housed in.",xxx,xxx,xxx,xxx,101 min,xxx,xxx,xxx
La parole,8.3,xxx,14401,Drama,Carl Theodor Dreyer,Kaj Munk,2h 6min,1955-12-28,Denmark,Palladium Film,68,"How do we understand faith and prayer, and what of miracles? August 1925 on a Danish farm. Widowed Patriarch Borgen, who's rather prominent in his community, has three sons: Mikkel, a good-hearted agnostic whose wife Inger is pregnant, Johannes, who believes he is Jesus, and Anders, young, slight, in love with the tailor's daughter. The fundamentalist sect of the girl's father is anathema to Borgen's traditional Lutheranism; he opposes the marriage until the tailor forbids it, then Borgen's pride demands that it happen. Unexpectedly, Inger, who is the family's sweetness and light, has problems with her pregnancy. The rational doctor arrives, and a long night brings sharp focus to at least four views of faith.",xxx,xxx,xxx,xxx,126 min,xxx,xxx,xxx
Chantons sous la pluie,8.3,99,223030,Comedy; Musical,Stanley Donen,Betty Comden,1h 43min,1953-09-11,USA,xxx,743,"1927 Hollywood. Monumental Pictures' biggest stars, glamorous on-screen couple Lina Lamont and Don Lockwood, are also an off-screen couple if the trade papers and gossip columns are to be believed. Both perpetuate the public perception if only to please their adoring fans and bring people into the movie theaters. In reality, Don barely tolerates her, while Lina, despite thinking Don beneath her, simplemindedly believes what she sees on screen in order to bolster her own stardom and sense of self-importance. R.F. Simpson, Monumental's head, dismisses what he thinks is a flash in the pan: talking pictures. It isn't until Le chanteur de jazz (1927) becomes a bona fide hit which results in all the movie theaters installing sound equipment that R.F. knows Monumental, most specifically in the form of Don and Lina, have to jump on the talking picture bandwagon, despite no one at the studio knowing anything about the technology. Musician Cosmo Brown, Don's best friend, gets hired as ...",2540800.0,1364,1826108,1865056,103 min,"or
|  Black and White",Ratio: 1.37 : 1,xxx
Vivre,8.3,xxx,70532,Drama,Akira Kurosawa,Akira Kurosawa,2h 23min,1966-08-31,Japan,xxx,233,"Kanji Watanabe is a civil servant. He has worked in the same department for 30 years. His life is pretty boring and monotonous, though he once used to have passion and drive. Then one day he discovers that he has stomach cancer and has less than a year to live. After the initial depression he sets about living for the first time in over 20 years. Then he realises that his limited time left is not just for living life to the full but to leave something meaningful behind...",xxx,214,60239,96302,143 min,io: 1.37 : 1,xxx,xxx
Los olvidados,8.3,xxx,18784,Crime; Drama,Luis Buñuel,Luis Alcoriza,1h 25min,1951-11-14,Mexico,xxx,152,"Hell-bent on revenge, the cocky reform-school runaway, El Jaibo, returns to his old neighbourhood in post-World-War-II Mexico City's poor and squalid slums, to reunite with his faithful gang of juvenile delinquents and street urchins. However, as the dangerous ringleader lives and breathes retribution, his destructive obsession to find the informant who supposedly sent him to jail will intricately interweave his bitter fate with that of Pedro, his weak and unwitting accessory, in a despicable act of pure evil. In the end, are humans inherently good or bad--and above all--is immorality contingent with society?",xxx,xxx,134613,134613,85 min,xxx,xxx,xxx
La fin du printemps,8.3,xxx,15041,Drama,Yasujirô Ozu,Kazuo Hirotsu,1h 48min,1994-01-19,Japan,xxx,82,"Noriko is 27 years old and is still living with her father Somiya, a widower. Noriko just recovered from an illness she developed in the war, and now the important question pops up: when will Noriko start thinking about marriage? Everybody who is important in her life tries to talk her into it: her father, her aunt, a girlfriend. But Noriko doesn't want to get married, she seems extremely happy with her life. She wants to stay with her father to take care of him. After all, she knows best of his manners and peculiarities. But Noriko's aunt doesn't want to give up. She arranges a partner for her and thinks of a plan that will convince Noriko her father can be left alone.",xxx,645,13254,15978,108 min,io: 1.37 : 1,xxx,xxx
Voleur de bicyclette,8.3,xxx,149948,Drama,Vittorio De Sica,Cesare Zavattini,1h 29min,1949-08-26,Italy,xxx,328,"Ricci, an unemployed man in the depressed post-WWII economy of Italy, gets at last a good job - for which he needs a bike - hanging up posters. But soon his bicycle is stolen. He and his son walk the streets of Rome, looking for the bicycle. Ricci finally manages to locate the thief but with no proof, he has to abandon his cause. But he and his son know perfectly well that without a bike, Ricci won't be able to keep his job.",133000.0,2537,371111,428978,89 min,ack and White,Ratio: 1.37 : 1,xxx
Assurance sur la mort,8.3,95,146180,Crime; Drama; F,Billy Wilder,Billy Wilder,1h 47min,1946-07-31,USA,Bryson Apartments; 2701 Wilshire Blvd.; Los Angeles; California; USA,422,"In 1938, Walter Neff, an experienced salesman of the Pacific All Risk Insurance Co., meets the seductive wife of one of his clients, Phyllis Dietrichson, and they have an affair. Phyllis proposes to kill her husband to receive the proceeds of an accident insurance policy and Walter devises a scheme to receive twice the amount based on a double indemnity clause. When Mr. Dietrichson is found dead on a train track, the police accept the determination of accidental death. However, the insurance analyst and Walter's best friend Barton Keyes does not buy the story and suspects that Phyllis has murdered her husband with the help of another man.",927262.0,xxx,14190,14190,107 min,io: 1.37 : 1,xxx,xxx
Citizen Kane,8.3,100,412390,Drama; Mystery,Orson Welles,Herman J. Mankiewicz,1h 59min,1946-07-3,USA,California; USA,1548,"A group of reporters are trying to decipher the last word ever spoken by Charles Foster Kane, the millionaire newspaper tycoon: ""Rosebud"". The film begins with a news reel detailing Kane's life for the masses, and then from there, we are shown flashbacks from Kane's life. As the reporters investigate further, the viewers see a display of a fascinating man's rise to fame, and how he eventually fell off the top of the world.",839727.0,xxx,1585634,1601055,119 min,ack and White,Ratio: 1.37 : 1,xxx
M le maudit,8.3,xxx,146293,Crime; Mystery;,Fritz Lang,Thea von Harbou,1h 58min,1932-04-8,Germany,xxx,383,"In Germany, Hans Beckert is an unknown killer of girls. He whistles Edvard Grieg's 'In The Hall of the Mountain King', from the 'Peer Gynt' Suite I Op. 46 while attracting the little girls for death. The police force pressed by the Minister give its best effort trying unsuccessfully to arrest the serial killer. The organized crime has great losses due to the intense search and siege of the police and decides to chase the murderer, with the support of the beggars association. They catch Hans and briefly judge him.",xxx,612,35566,35566,118 min,io: 1.20 : 1,xxx,xxx
Metropolis,8.3,98,162723,Drama; Sci-Fi,Fritz Lang,Thea von Harbou,2h 33min,1927-02-6,Germany,Filmwerke Staaken; Staaken; Spandau; Berlin; Germany,513,"Sometime in the future, the city of Metropolis is home to a Utopian society where its wealthy residents live a carefree life. One of those is Freder Fredersen. One day, he spots a beautiful woman with a group of children, she and the children quickly disappear. Trying to follow her, he is horrified to find an underground world of workers who apparently run the machinery that keeps the Utopian world above ground functioning. One of the few people above ground who knows about the world below is Freder's father, John Fredersen, who is the founder and master of Metropolis. Freder learns that the woman is called Maria, who espouses the need to join the ""hands"" - the workers - to the ""head"" - those in power above - by a mediator who will act as the ""heart"". Freder wants to help the plight of the workers in their struggle for a better life. But when John learns of what Maria is advocating and that Freder has joined their cause, with the assistance of an old colleague. an inventor called ...",57813.6,1938,1236166,1349711,153 min,"Dolby Digital
(1995 restored version)| Silent
(original release)",Black and White,1.33 : 1
Le Kid,8.3,xxx,116258,Comedy; Drama;,Charles Chaplin,Charles Chaplin,1h 8min,1921-02-6,USA,55 Fremont Pl; Los Angeles; California; USA,211,"The opening title reads: ""A comedy with a smile--and perhaps a tear"". As she leaves the charity hospital and passes a church wedding, Edna deposits her new baby with a pleading note in a limousine and goes off to commit suicide. The limo is stolen by thieves who dump the baby by a garbage can. Charlie the Tramp finds the baby and makes a home for him. Five years later Edna has become an opera star but does charity work for slum youngsters in hope of finding her boy. A doctor called by Edna discovers the note with the truth about the Kid and reports it to the authorities who come to take him away from Charlie. Before he arrives at the Orphan Asylum Charlie steals him back and takes him to a flophouse. The proprietor reads of a reward for the Kid and takes him to Edna. Charlie is later awakened by a kind policeman who reunites him with the Kid at Edna's mansion.",250000.0,xxx,26916,26916,68 min,io: 1.33 : 1,xxx,xxx
Uri: The Surgical Strike,8.2,xxx,45201,Action; Drama;,Aditya Dhar,Aditya Dhar,2h 18min,2019-02-9,India,Belgrade; Serbia,975,"Divided over five chapters, the film chronicles the events of the surgical strike conducted by the Indian military against suspected militants in Pakistan occupied Kashmir. It tells the story of the 11 tumultuous events over which the operation was carried out. Indian army special forces carry out a covert operation to avenge the killing of fellow army men at their base by a terrorist group.",6173823.96,63114,4186168,39346577,138 min,Dolby Atmos,Color,2.35 : 1
Andhadhun,8.2,xxx,76646,Crime; Drama; M,Sriram Raghavan,Arijit Biswas,2h 19min,2018-10-5,India,Pune; Maharashtra; India,878,Akash a blind pianist is preparing for a London concert.Sophie's scooter bumps into Akash and upon finding he a pianist she takes him to her restaurant Franco's run by her father and offers him a job.Akash meets 70s actor Pramod Sinha at the restaurant who asks him to do a private concert of his songs at his residence to surprise his wife Simi. Next Day upon reaching his house a shocking surprise is waiting for Akash.,4500000.0,27867,1193046,62475342,139 min,"Dolby Digital
| Dolby Atmos",Color,2.35 : 1
K.G.F: Chapter 1,8.2,xxx,40390,Action; Drama,Prashanth Neel,Prashanth Neel,2h 36min,2019-02-4,India,Chennai; Tamilnadu; India,1164,"The movie dates back to 1951. Here, two incidents take place; The birth of the hero and other in the Kolar Gold Fields (K.G.F) they get gold. The hero is brought up in poverty. When he is very young itself he goes to Mumbai to become a mafia don. His mother's wish was to see her son rich and powerful. After being in Mumbai for some time he returns back. Will he be able to become a Don? Will he set his people free from the age old slavery? Forms the plot of the movie?",xxx,xxx,6421597,6421597,156 min,xxx,xxx,xxx
Thadam,8.2,xxx,5508,Action; Crime;,Magizh Thirumeni,Magizh Thirumeni,2h 18min,2019-03-10,India,xxx,85,"Ezhil is a civil engineer who dreams of settling down with the woman he sees in the elevator of his high-rise office. One stormy night, a man is murdered and the police find photographic evidence of a suspect leaving the scene. Inspector Gopalakrishnan recognizes the face as Ezhil and brings him in for questioning. Hours later, con man Kavin is brought in for drunk driving and the police realize the two men are identical in appearance. Gopalakrishnan and Sub-Inspector Malarvizhi are divided in opinion as to which man is guilty and they each search for evidence to convict the killer.",xxx,xxx,96878,96878,138 min,xxx,xxx,xxx
Theeran Adhigaram Ondru,8.2,xxx,11297,Action; Crime;,H. Vinoth,H. Vinoth,2h 37min,2017-11-17,India,Chennai; Tamil Nadu; India,57,"Theeran, a police officer, tries to decode a series of cold blood events based on same pattern. Who's behind those ruthless events? How Theeran and team traces them? Did they succeed? forms the story of this crime action thriller. The story is based on true incidents handled by Police department in 2000s.",xxx,xxx,238484,238484,157 min,xxx,xxx,xxx
Green Book: Sur les routes du Sud,8.2,69,404650,Biography; Come,Peter Farrelly,Nick Vallelonga,2h 10min,2019-01-23,China,Carnegie Hall; New York City; New York; USA,1608,"In 1962, Tony ""Tony Lip"" Vallelonga, a tough bouncer, is looking for work when his nightclub is closed for renovations. The most promising offer turns out to be the driver for the African-American classical pianist Don Shirley for a concert tour into the Deep South states. Although hardly enthused at working for a black man, Tony accepts the job and they begin their trek armed with The Negro Motorist Green Book, a travel guide for safe travel through America's racial segregation. Together, the snobbishly erudite pianist and the crudely practical bouncer can barely get along with their clashing attitudes to life and ideals. However, as the disparate pair witness and endure America's appalling injustices on the road, they find a newfound respect for each other's talents and start to face them together. In doing so, they would nurture a friendship and understanding that would change both their lives.",23000000.0,32042,85080171,321752656,130 min,"Dolby Digital
(Dolby 5.1)| Dolby Surround 7.1
| SDDS
| DTS
(DTS: X)",Color,2.00 : 1
Take Off,8.2,xxx,5186,Action; Drama;,Mahesh Narayan,Mahesh Narayan,2h 19min,2017-03-24,India,xxx,20,"In 2014, a group of Malayali nurses was captured when terrorists took over the city of Tikrit in Iraq. This movie recounts the ordeal suffered by the nurses following their capture.",830036.33,xxx,884267,884267,139 min,xxx,xxx,xxx
Thondimuthalum Dhriksakshiyum,8.2,xxx,5018,Crime; Drama; T,Dileesh Pothan,Sajeev Pazhoor,2h 15min,2017-06-30,India,See more,33,"Prasad and Sreeja enter wedlock and move to a new place to continue the rest of their lives. Unfortunate events begin to take place after Prasad, a small-time thief, robs Sreeja's gold chain during a bus journey.",xxx,xxx,803887,803887,135 min,xxx,xxx,xxx
Pelli Choopulu,8.2,xxx,6272,Comedy; Drama;,Tharun Bhascker Dhaassyam,Tharun Bhascker Dhaassyam,2h 5min,2016-07-29,India,xxx,19,"This is an urban rom-com in a modern setting where tradition still has a strong hold. The story starts with the ""pellichoopulu"" or arranged meeting of Prashanth (Vijay Deverakonda) and Chitra (Ritu Varma). Check their journey out in #pellichoopulu",102897.07,xxx,xxx,xxx,125 min,xxx,xxx,xxx
Abad va yek rooz,8.2,xxx,11401,Drama,Saeed Roustayi,Saeed Roustayi,1h 52min,2016-03-16,Iran,Tehran; Iran,16,"The graphic account of a poverty-stricken family living in Tehran through the days before the youngest daughter of the family, Somaieh, is departing to start her marriage to a supposedly rich Afghan. While all members of the family have their worries about the wholeness of the marriage, she is struggling with her madly debilitating troubles including a silly mother who is gravely ill, a drug abusing brother, an obsessively compulsive sister, a considerably smart teenage brother who is being ruined in the environment, and a cunning oldest brother in need of money.",xxx,xxx,xxx,xxx,112 min,xxx,xxx,xxx
Silent Voice,8.2,78,54415,Animation; Dram,Naoko Yamada,Yoshitoki Oima,2h 10min,2018-08-22,Japan,xxx,272,"The story revolves around Shôko Nishimiya, a grade school student who has impaired hearing. She transfers into a new school, where she is bullied by her classmates, especially Shôya Ishida. It gets to the point where she transfers to another school and as a result, Shôya is ostracized and bullied himself, with no friends to speak to and no plans for the future. Years later, he epicly sets himself on a path to redemption.",xxx,12173,644391,30490447,130 min,io: 1.85 : 1,xxx,xxx
Guilty,8.2,xxx,32010,Crime; Drama; M,Meghna Gulzar,Vishal Bhardwaj,2h 12min,2019-04-18,India,xxx,100,"The story revolves around the mysterious murder cases of a 14-year girl, Shruti and the domestic help, Khempal who worked at her place. The film is based on the real life Noida Double Murder Case of 2008, where the parents were said to be the prime suspects of the murders. The film showcases three perspectives to the case which emerge as the investigation moves forward.",xxx,14471,342370,6879098,132 min,xxx,xxx,xxx
Baahubali 2: La conclusion,8.2,xxx,77770,Action; Drama,S.S. Rajamouli,Vijayendra Prasad,2h 47min,2017-04-28,India,Annapurna Studios; Hyderabad; India,534,"Kattappa narrates the story of Amarendra Baahubali to Shivudu, who learns his lineage as the prince of Mahishmati and the son of Amarendra Baahubali. Shivudu, now Mahendra Baahubali, decides to dethrone and punish Bhallaladeva for all wrongdoings of his past with the help of Kattappa.",34299021.98,1043049,20186659,254158390,167 min,"Dolby Atmos
| DTS",Color,2.35 : 1
La légende de Klaus,8.2,65,112653,Animation; Adve,Sergio Pablos,Sergio Pablos,1h 36min,2019-11-15,USA,xxx,732,"When Jesper (Jason Schwartzman) distinguishes himself as the postal academy's worst student, he is stationed on a frozen island above the Arctic Circle, where the feuding locals hardly exchange words let alone letters. Jesper is about to give up when he finds an ally in local teacher Alva (Rashida Jones), and discovers Klaus (Oscar® winner J.K. Simmons), a mysterious carpenter who lives alone in a cabin full of handmade toys. These unlikely friendships return laughter to Smeerensburg, forging a new legacy of generous neighbors, magical lore and stockings hung by the chimney with care. An animated Christmas comedy directed by Despicable Me co-creator Sergio Pablos, KLAUS co-stars Rashida Jones, Jason Schwartzman and JK Simmons.",40000000.0,xxx,xxx,xxx,96 min,xxx,xxx,xxx
Masaan,8.2,xxx,24631,Drama,Neeraj Ghaywan,Akbar Allahabadi,1h 49min,2015-06-24,France,xxx,103,"Four lives intersect along the Ganges: a low caste boy hopelessly in love, a daughter ridden with guilt of a sexual encounter ending in a tragedy, a hapless father with fading morality, and a spirited child yearning for a family, long to escape the moral constructs of a small-town.",xxx,xxx,651748,651748,109 min,xxx,xxx,xxx
Drishyam,8.2,xxx,73733,Crime; Drama; M,Nishikant Kamat,Jeethu Joseph,2h 43min,2019-01-30,India,India,269,"Vijay Salgaonkar runs a cable TV network in a remote and hilly village of Goa. He lives a happy life with his wife Nandini and two daughters. A 4th grade dropout & an orphan, Vijay has worked his way towards success with his sheer hard-work & street smartness in order to provide for his family who mean the world to him. A man of few means & needs; Vijay believes life is to be lived simplistically - his wife, while she loves him devoutly, wants Vijay's thrifty & miserly behavior to end and wants the world for her family. If there's one thing that Vijay cannot live without, it is his passion for watching films. Such is his 'filmy' obsession that he doesn't mind staying up all night at his office binging on TV movies! In a bizarre turn of events; a teenage boy goes missing; he is the son of a headstrong & no-nonsense cop; IG Meera Deshmukh and the Salgaonkar family is the prime suspect! Will a humble & middle class man, be able to protect his family from oppression of the powerful? How ...",9400000.0,xxx,xxx,xxx,163 min,xxx,xxx,xxx
The Blue Elephant,8.2,xxx,26986,Drama; Horror;,Marwan Hamed,Ahmed Mourad,2h 50min,2014-07-28,Egypt,Cairo; Egypt,68,"The story of Dr. Yehia, a psychotherapist at Al Abbasia hospital. He works in the department treating the criminally insane, only to find his best friend to be one of the patients. Trying to help his friend he finds himself going down the rabbit hole.",3500000.0,xxx,695436,695436,170 min,xxx,xxx,xxx
Queen,8.2,xxx,61620,Adventure; Come,Vikas Bahl,Vikas Bahl,2h 26min,2015-09-23,India,Amsterdam; Noord-Holland; Netherlands,229,"Queen is a movie about growing up. Rani (Kangana Ranaut) is a Delhi girl from a conservative family who is ditched by her fiancé just before her wedding. Shocked by this, she decides to set out on the planned honeymoon alone. As she travels the world and meets new people, she gains new experiences and discovers her own identity.",xxx,xxx,502391,502391,146 min,xxx,xxx,xxx
Mandarines,8.2,73,42498,Drama; War,Zaza Urushadze,Tatjana Mülbeier,1h 27min,2016-04-6,Georgia,xxx,104,"War in Georgia, Abkhazia region 1992: local Abkhaz are fighting to break free from Georgia. Estonian village between the mountains has become empty, almost everyone has returned to their homeland, only 2 men have stayed: Ivo and Margus. But Margus will leave as soon as he has harvested his crops of tangerines. In a bloody conflict in their miniature village wounded men are left behind, and Ivo is forced to take them in. But they are from opposite sides of the war. This is touching anti-war story about Estonians who find themselves in the middle of someone else's war. How do they handle it? How do the enemies act under third-party roof?",792873.9,518,144501,1024132,87 min,or,Ratio: 2.35 : 1,xxx
7-beon-bang-ui seon-mul,8.2,xxx,17653,Comedy; Drama,Hwan-kyung Lee,Hwan-kyung Lee,2h 7min,2013-01-23,Korea,Iksan; Jeollabuk-do; South Korea,104,"A story about the love between a mentally-ill father and his lovingly adorable daughter. Wrongfully accused of murder and rape, Yong-Goo is imprisoned for murder, and builds friendships with the hardened criminals in his cell, who in return help him see his daughter again by smuggling her into the prison.",xxx,xxx,82101723,82101723,127 min,xxx,xxx,xxx
Naduvula Konjam Pakkatha Kaanom,8.2,xxx,5197,Comedy; Drama,Balaji Tharaneetharan,Balaji Tharaneetharan,2h 35min,2012-11-30,India,See more,15,"Prem Kumar (Vijay Sethupathi) is all set to get married to his lover Dhanalakshmi (Gayathri). A day before his wedding, Prem decides to try his hand at playing cricket with his friends - Bagavathi (Bagavathi Perumal), Balaji (Rajkumar) and Saras (Vigneswaran). The game gets little serious and Prem in a bid to catch a ball falls down only to get injured in his head. He quickly gets back on his toes as the injury is no serious. But soon after the match, the friends are in for a shock. Prem forgets a few days of his life and develops short term memory loss wherein, he remembers his life till college and recognizes his friends, but clueless about his marriage. Fearing troubles, the friends take him to a doctor, who says that he will recover anytime. So the friends plan to keep him in their company, enact all drama till he ties the wedding knot, with a hope that he would get back his memory. The sequence of events wherein the friends try hide Prem's problem to his parents, lover and take ...",109756.87,xxx,xxx,xxx,155 min,xxx,xxx,xxx
Bhaag Milkha Bhaag,8.2,xxx,62255,Biography; Dram,Rakeysh Omprakash Mehra,Prasoon Joshi,3h 6min,2013-07-12,India,Pattaya; Chonburi; Thailand,201,"The true story of the ""Flying Sikh"" - world champion runner and Olympian Milkha Singh -- who overcame the massacre of his family, civil war during the India-Pakistan partition, and homelessness to become one of India's most iconic athletes.",xxx,64711,1636731,17551296,186 min,or,Ratio: 2.35 : 1,xxx
Ustad Hotel,8.2,xxx,12339,Comedy; Drama,Anwar Rasheed,Anjali Menon,2h 31min,2012-06-29,India,Kozhikodu; Kerala; India,41,"An urbane chef from a well-to-do family with very high ambitions goes on to find approval from his conservative father, true love and the real purpose of his life.",xxx,xxx,2178,2178,151 min,xxx,xxx,xxx
Shahid,8.2,xxx,15541,Biography; Dram,Hansal Mehta,Sameer Gautam Singh,2h 9min,2013-10-18,India,xxx,61,"Shahid traces the true story of slain human rights activist and lawyer Shahid Azmi. From attempting to become a terrorist to being wrongly imprisoned under a draconian anti-terrorism law to becoming a criminal lawyer Shahid traces the inspiring personal journey of a boy who became an unlikely messiah for human rights while following the rise of communal violence in India. This story of an impoverished Muslim struggling to come to terms with injustice, inequality and rising above his circumstances is an inspiring testament to the human spirit.",1000000.0,1215,12153,377803,129 min,io: 1.85 : 1,xxx,xxx
Gangs of Wasseypur,8.2,89,85328,Action; Comedy;,Anurag Kashyap,Akhilesh Jaiswal,5h 21min,2012-06-22,India,Varanasi; Uttar Pradesh; India,262,"Shahid Khan is exiled after impersonating the legendary Sultana Daku in order to rob British trains. Now outcast, Shahid becomes a worker at Ramadhir Singh's colliery, only to spur a revenge battle that passes on to generations. At the turn of the decade, Shahid's son, the philandering Sardar Khan vows to get his father's honor back, becoming the most feared man of Wasseypur.",2524408.02,xxx,4384642,4384642,321 min,io: 2.35 : 1,xxx,xxx
Bol,8.2,xxx,8644,Drama,Shoaib Mansoor,Shoaib Mansoor,2h 45min,2011-06-24,Pakistan,Lahore; Pakistan,77,"Zainub Khan has been found guilty by Pakistan's Courts and is to be hanged. Her last wish is to tell her story before the media, and after approval, she relates how her family was compelled to leave Delhi during 1948 and re-locate to Lahore. This is where her father, Hakim Sayed Hashmutallah Khan, married Suraiya, and hoping to sire a son, instead ended up with 7 daughters. The 8th child turned out to be a hermaphrodite and Hashmutullah wanted it dead but Suraiya insisted that she will not let anyone know so as not to shame her husband. They named the child Saifullah, and hired a tutor to teach him at home. After a failed marriage, Zainub returns home, notices that the tutor was molesting her brother and asks him to leave. With dwindling income from his father, unable to attend school, his mother giving birth to still-born babies, his siblings uneducated, Saifullah is then himself compelled to seek employment. It is here he will be sexually molested and subsequently killed by his ...",xxx,6247,188850,509872,165 min,or,xxx,xxx
Deiva Thirumagal,8.2,xxx,5009,Drama,A.L. Vijay,Vijay,2h 46min,2011-07-15,India,Chennai; Tamil Nadu; India,45,"Krishna (Vikram), who has the mental maturity of a five-year-old, works in a chocolate factory in Ooty. His wife delivers a baby girl and dies. The girl, Nila (Sara) is brought up in his own way by Krishna. He showers all his love and care on her. But fate takes a quick turn. Nila's grandfather Rajendran (Sachin Khedkar), a powerful and influential man in society, enters the scene. Fearing that his grand daughter is not safe under a mentally-challenged dad, he takes away the girl from Krishna. His other daughter Shwetha (Amala Paul) takes care of the child. Krishna runs from pillar to post to get back his daughter. He gets acquainted with advocate Anuradha (Anushka) and Vinod (Santhanam), her junior. They listen to Krishna's past and promise that they would do their best to get back the custody of Nila. Bashyam (Nasser), a leading advocate, appears for Rajendran. The rest is legal battle and arguments in court and who wins at last.",xxx,xxx,846407,846407,166 min,xxx,xxx,xxx
"Montevideo, vidimo se!",8.2,xxx,6772,Adventure; Biog,Dragan Bjelogrlic,Dragan Bjelogrlic,2h 21min,2014-01-15,Serbia,Santa Cruz de Tenerife; Tenerife; Canary Islands; Spain,19,"A football team from Belgrade, in the former Yugoslavia, gets a chance to go to the First World Football Championship, but things get complicated along the way.",5400000.0,xxx,2273204,2273204,141 min,io: 2.35 : 1,xxx,xxx
"Montevideo, Bog te video!",8.2,xxx,11588,Adventure; Come,Dragan Bjelogrlic,Ranko Bozic,2h 20min,2010-12-20,Serbia,xxx,16,"Based on the book by famous sport journalist, Vladimir Stankovic, dramatized by renowned screenplay writers Srdjan Dragojevic and Ranko Bozic under the first-time director's palette of actor Dragan Bjelogrlic, this historical melodrama gives us an unique and somewhat nostalgic view into the 1930's of Belgrade and resurrects the old times reminding us of a quite distinctive era when values and virtues were something very different from what they are today. Thanks to the production teams of Intermedia Network, the epoch comes to life and at times we feel hypnotized by the magic of the cobblestone streets of Cubura, audiences sense the hype of using electricity, birth of the radio and the growing trend of cabaret nightclubs and Ford T model cars just like the one owned by then soccer star, Blagoje Mosa Marjanovic (Petar Strugar). This show introduces us to a whole new generation of young actors (Milos Bikovic, Viktor Savic, Aleksandar Radojicic, Nenad Herakovic, Uros Jovcic, Nenad ...",xxx,xxx,2192931,2192931,140 min,xxx,xxx,xxx
Paan Singh Tomar,8.2,xxx,33924,Action; Biograp,Tigmanshu Dhulia,Sanjay Chauhan,2h 15min,2012-03-2,India,xxx,99,"Paan Singh Tomar is a Hindi-language film, based on the true story of a runner employed by the Army and has won Gold medal at Indian National Games but forced to become notorious baaghi. It is directed by Tigmanshu Dhulia.",xxx,2056,40311,40311,135 min,io: 2.35 : 1,xxx,xxx
On ne vit qu'une seule fois,8.2,xxx,69750,Comedy; Drama,Zoya Akhtar,Farhan Akhtar,2h 35min,2011-07-15,India,Barcelona; Spain,201,Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.,7545784.84,96054,3108485,5192743,155 min,Dolby Digital,Color,2.35 : 1
